käsi	kääs
raha	rahadega
olema	onn
ju	ju
häda	äda
ja	ja
puudus	`puudus
vahel	vahel
olema	onn
ikka	ikke
veel	viil
meie	me
pool	puul
ei	eij
olema	ole
aga	aga
siin	sin
siin	sin
Luunja	`Luun'ja
tee	tii
või	või
see	sii
ei	ei
mitte	`mitte
mitte	`mitte
Luunja	`Luun'ja
see	sii
Viljandi	Vil'landi
tee	tii
seal	säl
olema	ol'i
küll	küll
kui	kuu
mina	ma
käima	käesin
aga	aga
meie	mee
pool	puul
nüüd	nüid
ei	eij
olema	ole
tema	temaga
ei	ei
saama	saa
tegema	tiha
töö	tüüd
nüüd	nüid
olema	ol'i
kallis	kal'liss
tema	tema
parandus	parands
tulema	tuleb
kallis	kal'liss
ja	jaa
hind	ind
olema	onn
ikka	ikke
odav	odav
praegu	`praegust
olema	onn
ka	kaa
jahvatus	jahvats
odav	odav
nii	nii
et	et
tema	teda
ei	ei
saama+ki	`saagi
tegema	tiha
vanasti	vanast
olema	ol'li
tema	ta
küll	küll
ka	ka
kaheksa	kahessa
kopikas	`kopkat
vakk	vakk
või	võe
kolm	kolm
puud	`puutta
ja	ja
siis	s
veski	`ves'kil
võtma	`võetti
Muuge	`Muugel
kümme	kümme
ja	ja
aga	a
meie	meel
olema	ol'li
üks	üks
hind	int
siis	s
kas	kass
kroovima	kroovittud
või	või
ilma	ilma
ikka	ikke
kaheksa	kahessa
eest	iist
noh	nohh
palju	pal'lu
läbi	läbi
ei	ei
ajama	aa
vahest	vaest
olema	ol'i
mina	mull
üks+kord	üks+kõrd
ka	ka
rentnik	`ren'tnik
või	või
võtma	`võt'sin
nii	nii
poiss	poisi
või	või
üks	üks
mölder	`mölder
vana	vana
mölder	`mölder
olema	ol'i
ja	ja
tema	tema
olema	ol'i
Kints	Kin'tsi
juures	juures
õppima	`õppinu
Puurmani	`Puurmanis
ja	ja
siis	siss
jahvatama	jahvattasime
küll	küll
nõnda	nõnna
üle	üle
neli	nel'la
tuhat	tuhande
vakk	vakka
jah	jahh
aga	aga
muidu	muidu
üksinda	üksinda
saama	saab
nõnda	nõnna
kolm	kolm
ja	ja
kolm	kolm
ja	ja
pool	pool
ja	ja
kuidas	kudas
kuidas	kudas
tuul	tuuled
olema	onn
ja	ja
nüüd	nüid
olema	ol'li
ka	ka
halb	alb
jahvatama	jahvattatta
üks+vahe	öhe+vahe
kui	kui
see	se
masin	mas'sin
tulema	tul'i
siis	siss
toores	tooress
vili	vil'i
olema	onn
igav	igav
jahvatama	jahvattatta
kuiv	kuiv
vili	vil'i
olema	onn
hea	ia
laskma	`laske
kui	kui
hea	ia
tuul	tuul
võima	võib
laskma	`laske
ka	kaa
ikka	ikke
nõnda	nõnna
kümme	kümme
ee	ee
puud	`puutta
tund	tun'niss
kõige	kõege
rohkem	`rohkem
ega	ega
rohkem	`rohkem
ei	ei
saama	saanud
kunagi	kunagi
aga	aga
no	no
nii+sugune	nisuksid
tuul	`tuul'isid
olema	onn
vähe	vähä
aasta	`aastas
kaks	kaks
ehk	ehk
kolm	kolm
kord	`kõrda
aga	aga
nõnda	nõnna
vahest	vahest
neli+kümmend	nel'i+gümmend
vakk	`vakka
kolm+kümmend	kolm+gümmend
vakk	`vakka
päev	`päävas
ja	ja
kuidas	kudas
saama	saab
jahvatama	jahvattatta
kuidas	kuda
tuul	tuul
jälle	jälle
olema	onn
teine+kord	teine+kõrd
olema	onn
kange	`kange
tuul	tuul
ega	ega
ei	ei
saama+ki	`saagi
töö	tüüd
nii+palju	nii+bal'lu
teine+kord	teine+kõrd
olema	onn
nii+sugune	nisukke
tuul	tuul
ühe+sugune	öhe+sugune
pressima	pres'sib
olema	onn
saama	saad
rohkem	`rohkem
töö	tüüd
maru	maruga
teine+kord	teene+kõrd
ei	ei
saama	saand
see	seda
töö	tüüd
mis	miss
vagane	vagasega
aga	aga
saama	sai
ka	ka
mõni+kord	mõn'i+gõrd
sada	sada
vakk	`vakka
saama	sai
alla	`alla
laskma	`lasta
nõnda	nõnna
päev	päevaga
panema	pan'nid
hommik	ommokku
käima	`käima
ja	ja
õhtu	`õhtast
olema	ol'i
sada	sada
vakk	`vakka
aga	aga
nii+sugune	nisukkest
olema	onn
kaks	kaks
ehk	ehk
kolm	kolm
kord	`kõrda
aasta	`aastas
noh	nohh
kõik	kõik
oma	oma
ratas	`rattad
ja	ja
nagu	nigu
vesi+ki	ves'igi
veski	`ves'kil
no	no
tiib	tiivad
olema	onn
peal	pääl
tiib	tiivad
ajama	aavad
ümber	`ümber
no	no
jah	jahh
kõik	kõik
panema	pannasse
üles	ülesse
jälle	jälle
ja	ja
seal	sääl
olema	onn
kutsuma	kutsutse
pea+võll	pia+võl'l
ja	ja
püst+võll	püs't+võl'l
kaks	kaks
võll	`võl'li
olema	onn
seal	sääl
olema	onn
siis	s
ratas	`rattad
küljes	kül'les
ja	ja
siis	s
vedama	viab
ümber	`ümber
noh	nohh
kust	kost
tuul	tuul
pöörama	`pöörad
sinna	`senna
jälle	jälle
siib	siivad
vastu	`vasta
ah	ahh
seadma	säädettud
nii+sugune	nisuksed
post	pos'tid
ümber+ringi	`ümber+`ringi
ja	ja
raam	raam
ja	ja
jälle	jälle
parahvka	parahvka
olema	on
või	võe
kett	ket'tid
kett	ket'tid
ümber	`ümber
rull	trul'li
käänama	`käänab
ühte+puhku	`ühte+`puhku
edasi	edesi
ei	ei
see	se
pea	pia
käima	käib
ümber	`ümber
jah	jahh
vanasti	vanast
käima	käis
kõige	kõege
kere	kerega
aga	aga
nüüd	nüid
ei	ei
käima	käenud
nüüd	nüid
tema	ta
olema	ol'i
pea	pia
käima	käis
pea	pia
siis	s
olema	ol'i
aga	aga
aga	aga
vanasti	vanast
olema	ol'i
siin	sinn
Soo+taguse	Soo+daguse
mõis	`mõisas
olema	ol'i
vana	vana
tuulik	tuulik
pöörama+ki	pöörattigi
alt	alt
kõige	kõige
kere	kerega
käima	käis
Türgi	Türgil
jälle	jälle
olema	ol'i
nii+sugune	niisukkene
ratas	rattaste
peal	pääl
siis	siss
liigutama	liiguttasid
väikselt	`veikselt
kohe	kuhe
ja	ja
pidama	pidid
panema	panema
iga	egä
kord	kõrd
kinni	`kin'ni
jälle	jälle
kui	kui
tahtma	`tahtsid
tema	ta
vahel	vahel
viskama	visass
edasi	edesi
tagasi	tagasi
kõik+sugu	kõik+sugu
häda	ädad
olema	ole
jah	jahh
ka	ka
puu	puust
olema	ol'i
see	sellel
kah	kahh
Teegi	Teegil
seal	säl
olema	ol'i
kõik	kõik
püül	püijelt
ka	kaa
tegema	tegi
jah	jahh
kõik	kõik
seadma	säädettud
pere+mees	pere+mes
ise	is'i
kõik	kõik
mõistma	`mõis'tis
tegema	tiha
ja	ja
tegema	tegi
kõik	kõik
sisse	`sisse
aga	aga
ikka	kke
vähe	vähä
ka	ka
saama	sai
tema	taga
jahvatama	jahvattatta
eks	es
tema	ta
väiklane	`veiklane
veski	`ves'ki
ja	jaa
ikka	ikke
no	no
ikka	ikke
see	sii
olema	onn
suur	suur
õnn	õn'n
kui	kui
saama	saad
sada	sada
vakk	`vakka
kõige	kõege
rohkem	`rohkem
püül	püijelt
mina	ma
ise	is'i
käima	käesin
olema	ol'lin
noor	noor
sinna	senna
viima	viisin
tegema	tegemäs
siis	siss
tegema	tegi
ikka	ikke
päev	päevaga
nõnda	nõnna
üheksa	öhessa
puud	`puutta
või	või
kolm	kolm
vakk	`vakka
ikka	ikke
nisu	nisu
läbi	läbi
kui	kui
tuul	tuul
olema	ol'i
hea	ia
ei	eij
olema	olnud
ei	ei
saama	*saanud
siis	siss
kui	kui
mina	mina
koht	kuha
rentima	`ren'ttisin
isa	isa
käest	käst
või	või
isa	isa
käest	käst
koht	kuha
kah	kahh
siis	siss
mina	ma
andma	`an'tsin
rent	ren'di
peale	päle
kah	kahh
veski	`ves'ki
rent	ren'di
peale	pääle
aga	aga
no	no
veski	`ves'ki
rentnik	`ren'tnik
ei	ei
saama	saanud
pidama	pidada
ajama	aas
pöial	`peidla
pikk	pikkast
jah	jahh
vaatama	`vaatta
inimene	in'imesed
ei	ei
käima	käinuvad
aga	aga
jälle	jälle
ei	ei
tulema	tulnud
sealt	sält
hobune	obesed
järele	järele
nagu	nigu
tarvis	tarvis
ja	ja
mina	ma
panema	paan
ju	ju
käima	`käima
juba	juba
üks	üks
tema	tema
ei	i
saama	saand
ära	ära
minema	`minttud
juba	juba
teine	teine
kah	kahh
kolmas	kolmas
kah	kahh
üks	öhe
päev	päävaga
tulema	tulivad
ei	ei
miski	midagi
saama	saand
tegema	tiha
kui	kui
sina	sina
ei	ei
võtma	võtta
mitte	`mitte
palju	pal'lu
noh	nohh
tema	ta
kolm	kolme
vakk	vakka
pealt	pält
kaer	`kaeru
võtma	`võt'tis
ära	ära
puud	puuda
noh	nohh
kus	kos
sina	sa
saama	saad
siis	s
võtma	`võtta
kui	kui
sina	sa
vahest	vahest
kühvel	`kühvlega
viskama	`viskad
kuidagi	kudagi
nõnda	nõnna
nael	naela
ära	ära
või	või
paar	paar
see	sii
ei	ei
tähendama	tähända
tolm	tolm
minema	läheb
jah	jahh
palju	pal'lu
ega	ega
nemad	nad
tooma	toovad
kott	kot'ti
siis	s
nagu	nigu
tooma	tuud
kott	kot'ti
siia	`siijä
nii+sugune	nisuksed
käija	käijad
olema	ol'id
kott	kot'ti
siia	`siijä
võtma	`võt'tis
vana	vana
kott	kot'ti
välja	`väl'lä
minema	läks
minema	minema
Saare	Saare
Jaan	Jaan
olema	ol'i
nüüd	nüd
aasta	`aasta
viisi	viisi
jahvatama	jahvattas
aasta	`aasta
viisi	viisi
või	või
nõnda	nõnna
käima	käis
alati	alatti
just	just
tema	tema
käima	käis
kohe	kuhe
raamat	raamattu
peal	pääl
või	või
raamat	raamattuga
ee	ee
tegema	tegi
vat	vat
hind	ind
nii+sugune	nisukkene
ja	ja
ee	ee
seitse	`seitsme
kopikas	`kopkaga
olema	ol'i
vakk	vakk
tema	tal
ja	ja
alati	alatti
siis	s
tema	tema
jahvatama	jahvattas
kari	karjale
kaera+jahu	kaera+jahu
enamasti	änamast
no	no
rukis	`rukkid
tulema	tul'i
nüüd	nüid
ka	ka
vahest	vaest
nõnda	nõnna
vakk	`vakka
viis	viis
kuus+kümmend	kuus+gümmend
jahvatama	jahvattatta
tema	tall
aga	aga
muidu	muedu
kõik	kõik
kari	karja
kraam	kraam
olema	ol'i
ja	ja
see	see
käima	käis
alati	alatt
aga	aga
siis	siss
kui	kui
Surva	Surva
olema	ol'i
ei	ei
käima	käind
siia	siija
esiti	`es'ti
käima	käis
ei	ei
käima	käinu
siis	siss
ka	kaa
olema	ol'i
ikka	ikke
esiti	es'itti
aga	aga
noh	nohh
aga	aga
teine	teine
isa	isa
aeg	aeg
olema	ol'i
kah	kahh
rent	ren'di
peal	päl
olema	ol'i
siit	siit
Muuge	Muugelt
üks	üks
Oole	Oole
nimeline	nimelene
see	sii
jahvatama	jahvattas
ikka	ikke
kaks	kaks
aasta	`aastad
olema	ol'i
siis	siss
minema+ki	`läkski
Türgi	Türgi
veski	`ves'ki
peale	`pääle
ka	ka
jääma	jäi
töö	tüüd
nagu	nigu
vähemale	vähämalle
ja	ja
ei	ei
tulema	tulnd
aga	aga
see	sii
ikka	ikke
jahvatama	jahvattas
ja	ja
õiendama	õijendas
ikka	ikke
oma	oma
asi	as'jad
minema	läks
minema	minema
kuidas	kuda
keegi	`kiagi
olema	onn
jah	jahh
vahel	vahel
saatma	`saat'tis
sõna	sõna
kui	kui
siis	s
kott	`kot'ti
viima	viis
et	et
tulema	tulla
rehnutt	`rehknuttile
järele	järele
või	või
nõnda	nõnna
see	sell
ja	ja
see	sell
päev	päeval
noh	nohh
minema	läksid
saama	said
kohe	kohe
kõik	kõik
muidugi	mudugi
raamat	raamattud
olema	ol'id
juba	juba
oma	omal
mõlemad	mõlemil
tegema	`tehtud
arvama	`arvab
ära	ära
ja	ja
üks	öhe
kord	kõrra
kui	kui
ehitama	ehittas
siis	s
ütlema	`ütles
kohe	kuhe
kui	kui
läbi	läbi
saama	saad
et	et
mina	mina
üks	üks
kolm	kolm
aasta	`aastad
ei	ei
õiendama	õijenda
jah	jahh
ütlema	ütles
et	ett
ei	ei
saama	saa
et	et
mina	mull
olema	onn
raha	rahasid
ka	ka
ikka	ikke
vähem	vähäm
ja	ja
ehitama	ehittas
siis	siss
seal	seal
suur	suured
karja+laat	karja+laadad
ja	ja
siis	siss
kõik	kõik
seadma	`säädis
siis	siss
pärast	pärast
maksma	`maksis
kõik	kõik
ilusti	iluste
välja	`väl'lä
noo	noo
noh	nohh
mõni	mõn'i
kord	kõrd
siin	sii
olema	onn
nii	nii
üksikult	üksikkult
või	võe
harva	`arva
kui	kui
tulema	tuled
ja	ja
et	et
saama	saad
kohe	kuhe
et	et
noh	nohh
saama	saad
kah	kahh
kui	kui
tahtma	tahad
jätma	jättad
jälle	jälle
vana	vana
töö	tüü
seisma	`seisma
teadma	tiad
ise	is'i
oma	oma
asi	`as'ja
ja	ja
väga	väga
harva	`arva
kunas	kunass
olema	ol'i
ka	ka
mõni	mõn'i
kord	kõrd
nagu	nigu
muidu	muidu
ei	eij
olema	olnd
vaja	vaea
nagu	nigu
tang	`tangu
tulema	tul'i
tegema	tiha
no	no
siis	siss
olema	ol'i
teine	teist
nagu	nigu
vaja	vaea
ei	eij
olema	olnud
mitte	`mitte
need	nende
kapp	`kappadega
üles	ülesse
seadma	säädettud
kõik	kõik
pidama	pidid
ise	is'i
külimit	kül'imittuga
õiendama	õijendama
kott	kot'ti
laskma	las'sid
üles	üless
jälle	jälle
järjest	järest
noh	nohh
jooksma	joosep
kapp	kapp
sealt	sält
tera	terä
viima	viib
üles	ülesse
viskama	`viskap
sealt	sält
sisse	`sisse
ja	ja
ei	eij
olema	olnud
vaatama	vatta
siis	siss
muud+kui	mud+ku
juhtima	`juhtisid
ja	ja
siis	s
kõik	kõik
õiendama	õijendas
noh	nohh
vahel	vahel
kui	kui
üle+aru	üle+arvu
lööma	lõi
kapp	`kappades
siis	ss
ajama	aas
jo	jo
alt	alt
välja	`väl'lä
no	noo
see	sii
tulema	tul'i
tõstma	`tõsta
nagu	nigu
teine+kord	teene+gõrd
jääma	jääb
nõnda	nõnna
kui	ku
tasemalt	tasemalt
enne	`enne
kõva	kõva
tera	terä
peal	pääl
jooksma	joosep
üle	üle
siis	s
iga+üks	egä+öhel
oma	oma
häda	ädad
olema	ole
jah	jahh
kaks	kaks
paar	`paari
olema	onn
jah	jahh
neli	nel'i
neli	nel'i
kivi	kivi
üle+pea	üle+bia
kaks	kaks
all	all
kaks	kaks
üleval	üleväl
pealmine	`päälmene
käima	käib
ringi	`ringi
mõlemad	mõlemel
olema	onn
soon	sooned
sees	sehes
alumine	alumesel
ja	ja
pealmine	`päälmesel
vesi+veski	ves'i+`ves'kil
olema	onn
jälle	jälle
teist+moodi	teist+modu
soon	sooned
kui	kui
tuulik	tuulikkul
vaatama	vatta
vesi+veski	ves'i+`ves'kil
olema	onn
nii+sugune	`niskene
ühe+sugune	öhe+sugune
jõud	jõud
aga	a
tuulik	tuulikkul
olema	onn
nõnda+viisi	nõnna+viisi
teine+kord	teene+gõrd
olema	onn
jõud	jõud
väike	`veikke
noh	nohh
siis	siss
ei	ei
tarvitama	tarvitta
tera	tera
nii+palju	nii+bal'lu
noh	nohh
aga	aga
üks	üks
soon	soon
ei	ei
raiuma	raijutta
nii	nii
sügav	sügav
aga	aga
kui	kuij
olema	onn
nagu	nigu
kõva	kõva
jõud	jõud
olema	onn
kivi	kivi
tarvitama	tarvittab
kuus	kuvve
hobune	obese
jõud	jõud
siis	siss
olema	onn
täis	täis
jõud	jõud
tema	tall
kuus	kuvve
hobune	obese
jõud	`jõuga
katel	`katlaga
ei	ei
saama	saa
ikka	ikke
rohkem	`rohkem
jahvatama	jahvattatta
kui	kui
sada	sada
vakk	`vakka
ja	ja
nõnda	nõnna
rohkem	`rohkem
või	või
vähem	vähäm
natukene	nattukkene
kuidas	kuda
küte	kütte
olema	onn
ega	ega
siis	s
kõik+sugu	`kõikki+sugu
häda	ädasid
olema	onn
tema	tall
olema	onn
keder+vars	kedra+vars
all	all
keder+vars	kedra+vars
ajama	aab
ja	ja
seal	säl
ots	ots
olema	onn
siis	siss
muidugi	muedugi
see	sii
kivi	kivi
ja	ja
see	sii
ajama	aab
tema	teda
ümber	`ümber
ja	ja
siis	siss
võtma	võttab
tema	temaga
olema	onn
oma	oma
tegemine	tegemest
ka	kaa
ega	ega
tema	ta
nii+sama	nii+sama
ei	eij
olema	ole
tulema	tuleb
ikka	ikk
oma	oma
õige	`õige
olema	olema
ja	ja
soon	sooned
ja	ja
siis	siss
saama	saad
ja	ja
pidama	piad
ikka	ikke
nagu	nigu
juba	juba
õppima	`õppind
olema	olema
ega	ega
siis	siss
jahvatama	jahvattatta
kunst	kun'ts
ei	eij
olema	ole
aga	aga
siis	siss
seadma	`sääda
olema+ki	`ongi
jahvatama	jahvattatta
võima	võib
iga+üks	iga+üks
kui	kui
seadma	säädettud
olema	onn
aga	a
vat	vat
kui	kui
siis	s
ära	ära
minema	lähäb
sina	su
käest	käest
siis	siss
olema	onn
sitt	sitt
no	no
raiuma	raijud
kivi	kivi
nüri	nürist
minema	lääd
raiuma	raijud
jälle+ki	jällegi
järele	järele
see	seda
värk	`värkki
lahti	`lahti
võtma	võttad
pealmine	`päälmese
viskama	`viskad
ära	ärä
ja	ja
raiuma	raijud
ära	ärä
jälle	jälle
pärast	pärast
panema	paned
tagasi	tagasi
siis	siss
panema	pannasse
jälle	jälle
alt	alt
paigale	paigale
tema	tema
ega	ega
tema	temal
oma	oma
kunst	`kun'tsi
küllalt	küllalt
kah	kahh
kohe	kohe
tera	teräd
panema	pannasse
üles	ülesse
no	no
kutsuma	kutsuttasse
kolu	kolusse
sinna	senna
sealt	sält
siis	siss
kivi	kivil
olema	onn
jälle	jälle
nii+sugune	nisuksed
sälk	sälgud
kus	kuss
ümbert	`ümbert
lööma	lüüb
seal	säl
tõkk	tõkk
tõkk	tõkk
tõkk	tõkk
tõkk	tõkk
nõnda	nõnna
peale	`pääle
lööma	lüüb
oma	oma
jagu	jagu
kuidas	kudass
tema	ta
tema	teda
tarvitama	tarvittab
kivi	kiviga
