mis+sugune	miss+`muod'i
nigu	niigu
need	nied
iva	ivad
olema	onn
ikke	ikke
eks	eks
teie	te
olema	ole
püssi+rohi	püs'si+`rohtu
nägema	näind
vesi	vett
peale	`piale
ja	ja
siis	ss
minema	läks
alla	`alla
ja	ja
noo	noo
aitama	aittas
nüüd	nüid
viima	viijasse
haigla	`aiglasse
see	se
kui	kui
nii+sugune	nesukke
haigus	`aigus
olema	onn
enne	`enne
praavitama	praavittet'ti
kõik	kõik
kodu	kodu
ära	ää
ja	ja
lõnga+õli	lõ~nga+el'i
jälle	`jälle
sooda	suodad
panema	`pan'di
sisse	`sisse
ja	ja
siis	siis
see	sie
ajama	aas
keema	`kiema
siis	siis
olema	ol'i
see	sie
hea	ia
rohi	rohi
ka	kua
see	sie
olema	ol'i
see	selle
sama	sama
rabadus	rabaduse
vastu	`vasta
jaa	jaa
püssi+rohi	püs'si+rohi
ja	ja
lõnga+õli	lõ~nga+el'i
taa	taa
ajama	aas
ainult	ainult
kere	kere
külmetama	kül'mettama
ega	ega
tema	tema
see	seda
ütlema	`üeldi
et	et
villi+haigus	vil'li+`aigus
olema	ol'i
jah	jahh
ega	ega
tema	ta
kuhugi	kuhugille
vill	`vil'li
ei	eij
ajama	and
aga	aga
tema	tema
ütlema	`üeldi
et	et
villi+haigus	vil'li+`aigus
olema	onn
eks	eks
tema	ta
ikke	ikke
vahest	vaest
tulema	tul'i
külmetamine	kül'mettamisest
ja	ja
jah	jahh
ja	ja
viin	viina
joomine	`juomisest
ka	koa
jah	jahh
pea	pia
hakkama	`akkas
valutama	valuttama
hea	ia
olema	ol'i
estist	`es'tist
võtma	`võtta
aga	aga
pärast	pärast
olema	ol'i
valu	valu
tegema	tegi
jah	jahh
mina	mull
olema	ol'i
õe+poeg	õe+pueg
kuidas	kuda
õhta	`õhta
jääma	jäi
nõnda	nõnna
teine	teine
päev	pää
kõik	kõik
kere	kere
lööma	lõi
sinine	sin'isest
tema	`talle
ja	ja
see	sie
ütlema	`üeldi
ikke	ikke
et	t
vill	`vil'li
surema	surd
pool	puole
aastane	`aastane
olema	ol'i
jah	jahh
surema	suri
jah	jahh
pool	puole
aastane	`aastane
olema	ol'i
ega	ega
siis	ss
enne	`enne
nii+sugune	niisukkest
rohi	`rohtu
olema	olt
kui	kui
nüüd	nüid
olema	onn
kas	kas
nemad	nad
kõik	kõik
aitama	aittavad
või	või
ei	ei
see	seda
ei	ei
teadma	tia
mina	maa
arvama	`arvan
et	et
meie	meije
naine	naene
küll	küll
minema+ki	`läkski
Tallinn	Tal'lina
rohi	rohu
tema	ta
käima	käis
vast	vast
ühe+korra	ühe+gorra
tooma	tõi
siin	siin
pudel	pudeliga
kas	kass
siis	siis
käskima	`käs'ti
tagasi	tagasi
tulema	`tulla
ega	ega
mina	`mulle
ei	ei
ütlema	`üeldud
ega	ega
kes	kes
siis	sis
vana+inimene	vana+in'imesele
nüüd	nüid
enam	enamb
keegi	kedagi
ilmutama	ilmuttab
nüüd	nüid
tema	ta
ikke	`ikke
iga	iga
õhtu	`õhta
heitma	eidab
magama	magama
õlg	õlasse
panema	pannasse
sooja+vee+kott	suoja+vie+got't
et	et
jooksma	`juoksva
jälle	`jälle
isa	isa
ütlema	`ütles
et	et
jooksma	`juoksva
pidama	piab
õlg	õlas
olema	olema
no	no
minema	mene
teadma	tia
nüüd	nüid
mis	miss
jooksma	`juoksva
haigus	`aigus
olema	onn
siis	s
noo	noo
jah	jahh
olema	ol'i
küll	küll
olema	ol'i
jah	jahh
no	no
tema	taal
kui	kui
paha	pahad
ilm	ilmad
olema	onn
ehk	ehk
keegi	kedagi
siis	sis
lööma	lüeb
valu	valu
sisse	`sisse
sisse	`sisse
iga	igale
poole	bole
kas	kass
kere	keresse
või	või
võtma	võttab
kõht	kõhu
lahti	`lahti
või	või
ja	ja
kes	kell
hakkama	`akkab
üks	ühes
koht	kohas
käima	`käima
tema	tema
kas	kass
olema	onn
nüüd	nüid
viga	viga
see	sie
koht	koht
saama	soand
et	et
kui	kui
ilus	ilusad
ilm	ilmad
siis	siis
ei	ei
tundma	tunne
aga	aga
kui	kuij
olema	onn
nii+sugune	`neske
sajune	sajune
ja	ja
ja	ja
teine	`teisi
ilm	`ilmi
tulema	tuleb
siis	siis
olema	onn
ei	eij
olema	old
eks	eks
need	neid
kodune	koduseid
rohi	`rohtusi
ikke	`ikke
katsuma	katsuttud
aga	aga
aga	aga
enne	`enne
siis	ss
rohi	`rohtu
olema	old
kuulma	kuuled
püssi+rohi	püs'si+rohi
olema	ol'i
see	sie
rohi	rohi
ja	ja
lõnga+õli	lõ~nga+el'i
kui	kui
nüüd	nüid
olema	onn
paraku	parakku
kas	kas
nemad	nad
nüüd	nüd
aitama	`aittavad
või	või
ei	ei
mina	minu
jalg	jalad
ka	koa
valutama	valuttavad
tahtma	tahaks
ka	koa
rohi	`rohtu
saama	`soada
mõtlema	`mõtlen
et	et
ei	ei
teadma	tia
kas	kass
panema	paneks
veel	viel
süst	`süs'ti
minema	lähäks
Assamalla	`Assamasse
siin	siin
olema	onn
see	sie
Kukk	Kukk
kes	kess
süstima	süs'tib
noo	noo
laudi	laud'ilt
kukkuma	`kukkusin
õõ	õõ
olema	olen
need	nied
valitsus	val'itsused
ju	joo
igat+moodi	iga+`muod'i
tegema	teind
see	seda
surm	`surma
siin	siin
Saksa	Saksa
valitsus	val'itsuse
ajal	aal
siis	siis
nuukima	nuugit'ti
see	seda
vili	`vil'ja
ja	ja
otsima	ot'sit'ti
siit	siit
Assamalla	`Assamast
tooma	tõin
taa	taa
õe+poeg	õe+bueg
tooma	tõi
siia	seije
lakk	`lakka
üks	üe
kott	kot'ti
rukis	`rukkid
noo	noo
ega	ega
siis	s
nemad	nad
ei	ei
panema	pand
laud	`lauda
sinna	`sinna
koht	`kohta
kus	kus
tema	ta
enne	`enne
olema	ol'i
mina	maa
käima	käisin
sügis	sügisest
saadik	soad'ik
ka	ka
seal	sial
lakk	lakkas
tooma	tõin
põhk	`põhku
ära	ää
hommikul	ommikku
veel	viel
tooma	tõin
riie	`riided
tuba	`tuppa
pidama	pid'in
leeri+laps	lieri+laste
püha	püha
olema	ol'i
kirik	kirikku
minema	menema
minema	läksin
üks	üks
kana	kana
olema	ol'i
seal	sial
lakk	lakkas
kõketama	kõkkettas
nii	nii
kuidas	guida
kõik	kõige
laud	lauwaga
kukkuma	`kukkusin
nõnda	nõnna
kohe	kohe
kõrge	`kõrge
ikke	`ikke
kõrge	`kõrgemb
kui	kui
see	sie
alla	`alla
see	sie
panema	pan'i
kolm	kolm
nädal	nädalat
puhtast	`puhtast
pikali	pikkali
eks	eks
e	e
see	sie
siis	siis
tema	ta
põrutama	põruttas
minu	mo
neer	nierud
ära	ää
ja	ja
kõik	kõik
siis	siis
see	sie
kusemine	kusemine
olema	ol'i
kohe	kohe
nii+kui	nii+gui
sült	sül't
tarretama	tarrettas
ära	ää
jah	jahh
jah	jahh
nõnda	nõnna
olema	onn
kõrge	`kõrgelt
kukkuma	`kukkuda
jah	jahh
jah	jaahh
jah	jahh
tegema	tieb
kohe	koe
sisse	`sisse
pärast	pärast
mitu	mittu
auk	aukku
kui	kuij
olema	onn
eks	eks
need	neid
haigus	`aigusi
olema	ole
jah	jahh
mitu	`mitmed
moodi	`muod'i
küll	küll
mina	muu
venna+poeg	venna+boeal
lööma	lõi
siia	seije
sõrm	`sõrme
siis	siis
üks	ühe
liige	`liikme
võtma	`võt'tis
kohe	kohe
ära	ära
siit	siit
jah	jahh
lööma	lõi
auk	augud
sisse	`sisse
ja	ja
see	sie
olema	ol'i
eli+ting	el'i+di~nga
haigus	`aigus
jah	jahh
eks	eks
tema	ta
ikke	ikke
ehmatus	ehmattusest
kõige	kõige
suur	suuremb
asi	as'i
tulema	tule
estist	`es'tis
lööma	lüeob
punane	punase
vill	vil'li
aga	aga
üles	ülesse
aga	a
vaatama	voatta
pärast	pärast
minema	läb
siis	siis
mõurama	`meurama
eks	eks
ikke	ige
saama	soand
ohutama	ohuttada
küll	küll
aga	aga
abi	abi
saama	soa
eks	eks
olema	ole
mitu	`mitmed
oht	ohud
ikke	ikke
siidi+rätik	siid'i+rät'tikkud
ja	ja
raha	rahad
peale	`piale
panema	`pandud
estist	`es'tist
ja	ja
egas	egass
estist	`es'tist
sedasi	sedasi
olema	old
nüüd	nüid
kui	kui
nüüd	nüid
olema	onn
jaa	jaa
vana	vana
vana	vana
oht	`ohtudega
katsuma	katsuttud
kõik	kõik
jah	jahh
aga	aga
kas	kas
tema	ta
nüüd	nd
aitama	aittas
või	või
või	või
ei	ei
aitama	aidand
aga	aga
noh	nohh
see	sie
olema	ol'i
nägema	nää
noh	nohh
eks	eks
tema	ta
võtma	`võt'tis
enne	enne
ka	koa
kont	kon'did
valutama	valuttama
ja	ja
ja	ja
see	sie
haige	`aige
koht	koht
ka	koa
nii+kaua	nii+gauwa
ikke	`ikke
mitu	mittu
nädal	nädalad
enne	`enne
kasvama	`kasvas
kui	kui
lahti	`lahti
lööma	lõi
no	no
auk	augu
lööma	lõi
sisse	`sisse
kohe	kohe
jah	jahh
siia	seije
punane	punase
koht	koha
pealt	pialt
kus	kuss
sedasi	`seasi
punetama	punettas
enne	`enne
lööma	lõi
auk	augu
et	et
lööma	lõi
noo	noo
jah	jahh
no	no
kui	kui
pärast	pärast
hakkama	`akkas
paranema	paranema
siis	siis
auk	augu
ümbert	`ümbert
jälle	`jälle
kui	kui
kui	kui
ju	juo
auk	augu
lahti	`lahti
lööma	lõi
aga	aga
nii+kaua	nii+kauwa
ütlema	`üeldi
ikke	`ikke
valu	valu
olema	olt
kui	kui
auk	`aukku
veel	viel
ei	eij
olema	old
jah	jahh
see	sie
olema	ol'i
nii+sugune	`neskene
umbes	`umbes
haige+ki	`aigegi
jälle	jälle
see	sie
ütlema	`üelda
ka	kua
olema	olema
nägema	näe
kas	kass
pind	pind
pistma	pistab
ehk	ehk
vaatama	vatta
siis	siis
hakkama	`akkab
mäda	mäda
korjama	`kor'jama
ja	ja
see	seda
varba+valu	`varba+valu
mina	maa
olema	olen
ka	kua
nägema	näind
küll	küll
jah	jahh
umbes	`umbes
haige	`aige
jah	jahh
jah	jahh
mina	minul
olema	onn
olema	old
küll	küll
pind	pind
minema	läb
sisse	`sisse
ja	ja
siis	sis
tegema	tieb
nii	nii
valu	valu
et	et
kui	kui
lööma	lüeb
ju	jo
lahti	`lahti
noo	noo
siis	siis
panema	pane
olema	onn
kõik	`kõikki
oht	`ohtusi
saama	soand
soe	soea
leib	leiva
puru	puro
ja	ja
või+leib	või+leiva
puru	puro
peale	piale
ja	ja
jah	jahh
ja	ja
siis	siis
see	sie
hakkama	`akkab
nagu	nagu
puhastama	puhastama
ega	ega
siis	ss
enne	`enne
suur	`suuri
rohi	`rohtusi
olema	old
keegi	kedagi
kõik	kõik
nii+sugune	nesukkeset
oma	oma
rohi	rohu
jah	jahh
jah	jahh
või+leib	või+leiva
sool	suolaga
hästi	iast
soolane	suolane
see	see
kiskuma	`kiskus
siis	siis
puhas	`puhtast
ja	ja
ja	ja
linnu+magus	linnu+magus
ka	koa
suur	suuremalt
jagu	jaolt
olema	ol'i
ikke	`ikke
hea	ia
aga	aga
enne	`enne
nii+palju	nii+bal'lu
magus	magusad
ei	eij
olema	old
kui	kui
nüüd	nüid
olema	onn
magus	magus
olema	onn
hea	ia
rohi	rohi
ka	kua
jah	jahh
ju	juu
tema	ta
siis	siis
minema	läks
tema	temaga
ka	kua
suur	suuremaks
jah	jahh
mina	minu
vend	vennal
olema	ol'i
jaa	jaa
mina	maa
teadma	tian
ära	ää
mina	minul
olema	põle
küll	küll
olema	old
umbes	`umbes
haige	`aiged
olema	onn
küll	küll
olema	old
enne	`enne
saama	sai
plika	plikkast
peast	piast
noo	noo
laps	lapsena
palja+jalu	`pal'la+jalu
uitama	uidatta
siis	siis
oh	ohh
olema	ol'id
jah	jahh
paljas	`pal'lad
jalg	jalad
minema	läksid
pind	pinnad
sisse	`sisse
ja	ja
siis	siis
olema	ol'i
valu	valu
suur	suur
alati	alatte
jah	jahh
jah	jahh
ei	ei
mina	mina
enam	enamb
mäletama	mäletta
kõige	kõige
vana	vanemb
olema	ol'i
eks	eks
tema	ta
ikke	ikke
ehmatus	ehmattusest
tulema	tuld
kõige	kõige
rohkem	`rohkem
kõige	kõige
rohkem	`rohkem
pöial	`peidlas
kohe	kohe
siis	siis
pöial	`peidla
võtma	`võt'tis
kohe	kohe
üks	ühe
luu	luu
välja	`väl'la
puhas	`puhtast
parem	paremal
käsi	kääl
veel	veel
jah	jahh
kes	keda
tema	ta
mädanema	mädanes
välja	`väl'la
ja	ja
võtma	`võt'tis
see	selle
kont	kon'di
ka	koa
veel	viel
ära	ää
ja	ja
ega	ega
mina	maa
ütlema	`ütlen
et	t
ega	ega
enne	`enne
nii+sugune	nesukkeisi
arst	`ar'stisi
ei	eij
olema	old
kui	kui
nüüd	nüid
olema	onn
nüüd	nüid
olema	onn
arst	ar'stid
pidama	piavad
isegi	isegi
naerma	`naerma
et	et
et	et
pind	pind
minema	läb
varvas	`varbasse
juba	juba
jälle	`jälle
arst	ar'sti
juurde	juure
aga	aga
kes+see	`kisse
enne	`enne
pind	pinnaga
minema	läks
saama	sai
ise	ise
välja	`väl'la
sosima	sos'ida
kui	kuij
ei	i
saama	soand
ja	ja
pärast	pärast
mädanema	mädanes
välja	`väl'la
ikke	`ikke
jah	jahh
siis	siis
kõige	kõige
rohkem	`rohkemb
kui	kui
tema	tema
mädanema	mädaneb
ja	ja
kasvama	kasvab
siis	siis
kui	kui
tema	tema
hakkama	akkab
ju	joo
pehme	`pehmest
lööma	`lüeoma
ja	ja
kas	kass
siis	siis
saama	sai
ikke	ikke
sibul	sibulad
kõige	kõige
rohkem	`rohkem
sibul	sibulaga
ka	kua
et	et
siis	siis
lööma	lõi
see	selle
nahk	naha
tüma	tümast
ja	ja
jah	jahh
küps	`küpse
sibul	sibulat
saama	sai
peale	`piale
panema	`panna
see	sie
tegema	tegi
pehme	`pehmest
ja	ja
siis	siis
vahest	vahest
saama	sai
veel	vel
ega	ega
suur	suuremalt
jagu	jaolt
torkima	tor'kkida
tohtima	`tohtind
nõel	nõelaga
ikke	ikke
saama	sai
vähe	vähä
vähendama	vähändada
et	et
valu	valu
et	et
saama	sai
kui	kui
hakkama	akkas
jooksma	`juoksma
kas	kass
mäda	mäda
ehk	ehk
siis	siis
andma	`an'dis
kohe	kohe
järele	järele
aga	aga
siis	siis
see	sie
kui	kui
tema	tema
takistama	takkistas
siis	siis
tema	ta
olema	ol'i
suur	suur
valu	valu
umbes	`umbes
haige	`aiged
olema	olen
tundma	tund
küll	küll
jah	jahh
ühte+lugu	`ühte+lugu
keha	kehade
pealt	pialt
ajama	`aama
kaks	kaks
keha	keha
olema	ol'i
kõrvu	kõrvu
siin	siin
lagi	lae
all	all
ja	ja
siis	siis
keha	kehad
olema	ol'id
sealt	sialt
siis	ss
lõng	lõng
jooksma	`juoksis
kui	kui
jälle	`jälle
saama	said
sinna	sinna
rist	`ristide
kohta	`kohta
siis	siis
saama	sai
teisele+poole	teine+ppole
jälle	jälle
need	nied
käär+puud	`kiar+bud
lükkama	lükkatta
teisi+pidi	teisi+bidi
ajama	`aada
ja	ja
see	sie
ja	ja
siis	sis
see+samune	sie+samune
kui	kui
tulema	tul'i
jälle	jälle
sinna	sinna
rist	`ristide
kohta	`kohta
siis	s
jälle	jälle
teisi+pidi	teisi+bidi
ja	ja
ja	ja
nii+sugune	nesukke
võrke+lõng	`võrkke+lõng
olema	ol'i
sees	sies
iga+kord	iga+kord
saama	sai
võrke+lõng	`võrkke+lõng
panema	`panna
siis	siis
kui	kui
saama	sai
tihv	`tihva
panema	`panna
siis	siis
sealt	sialt
võrge	võrgettest
saama	sai
siis	siss
tihv	`tihva
panema	`panna
üles	ülesse
jah	jahh
jah	jahh
noo	noo
ikke	`ikke
nii	nii
pikk	pikkad
olema	ol'id
kui	kui
siia	seije
lagi	lae
alla	`alla
ja	ja
siis	s
nii+sugune	nest
neli	`nel'la
kant	`kan'tti
siis	siis
sinna	`sinna
peale	`piale
saama	sai
sedasi	sedasi
lööma	`lüija
need	nied
jah	jahh
eks	eks
mees	mies
tegema	teind
jaa	jaa
olema	onn
mees	mehe
tegema	`tehtud
jah	jahh
eks	eks
õ	õ
või	või
see	selle
küünar+puu	küinar+buga
enne	`enne
olema	ol'i
küünar+puu	küinar+bu
ehk	ehk
nüüd	nüid
tulema	tuleb
kuidas	kuda
tema	ta
hüüdma	`üitta
meeter	`mietter
või	või
meeter	`mietter
jah	jahh
küünar+puu	küinar+buga
saama	sai
ära	ää
estist	es'tist
see	selle
kera	kera
lööma	`lüija
sinna	`sinna
küünar+puu	küinar+bu
peale	`piale
mõõtma	`mõetta
ja	ja
siis	siis
see	sie
saama	sai
sinna	sinna
kangas	`kanga
külge	`kül'ge
panema	`panna
keha	kehade
külge	`kül'ge
siis	ss
kui	kui
tulema	tul'i
see	sie
sõlm	sõl'm
ära	ää
siis	siis
see	sie
mõõdu+riist	mõedu+riist
tulema	tul'i
või	või
tema	tema
tulema	tul'i
ära	ää
kerima	kerida
pealt	pialt
ja	ja
siis	siis
jääma+ki	`jäigi
kangas	`kanga
olemine	olemine
siis	siss
jah	jahh
kes	kess
või	või
mina	mina
olema	olen
kerima	`kiarind
need	neid
küll	küll
jah	jahh
noh	noohh
ega	ega
eks	eks
tema	ta
ikke	ikke
võtma	võtt
ka	kua
pool	puol
päev	`pääva
kui	kui
olema	ol'i
pikk	pikk
kangas	ka~ngas
ikke	`ikke
pool	puole
päev	pääva
minema	läks
ära	ära
vahest	vaest
olema	ol'i
veel	viel
kalevi+kangas	kalevi+ka~ngas
see	sie
kangesti	`kangeste
olema	ol'i
paha	paha
kerima	`kiarida
tema	tema
hakkama	`akkas
need	neid
käär+puud	`kiar+buid
kiskuma	`kiskuma
nagu	nagu
villane	villane
ikke	`ikke
kiskuma	kisub
kokku	`kokku
jah	jahh
aga	aga
siis	siss
jah	jahh
mina	mina
olema	olen
ikke	ikke
koti+kangas	kot'ti+ka~ngast
ja	ja
ja	ja
labane	labast
ja	ja
kõik	kõikke
olema	olen
palju	paelu
tegema	teind
need	neid
kangas	`kangaid
jah	jahh
üksi+päini	üksi+päine
keha	kehad
olema	ol'id
püsti	`püs'ti
ja	ja
keha	kehad
olema	ol'id
nii+sugune	neesukkest
üks	ühed
nii	nii
pikk	pikkad
ja	ja
jälle	jälle
nelja+kandiline	neela+kan'dilised
jah	jahh
siis	siis
sealt	sialt
pealt	pialt
saama	sai
ajama	`aada
enne	`enne
saama	sai
keha	kehale
keri+laud	keri+`laudade
peale	`piale
siis	siis
saama	sai
keha	kehade
peale	`piale
ajama	`aada
ja	ja
siis	siis
tulema	tul'i
eks	eks
see	selle
kangas	`kangaga
olema	ole
töö	tüöd
küll	küll
ikke	ikke
enne	`enne
aga	aga
nüüd	nüid
olema	onn
hea	ia
inimene	in'imestel
küll	küll
muidu	muidu
pehme	`pehmed
särk	särgid
seljas	seelas
ja	ja
hea	iad
küll	küll
olema	onn
jah	jahh
jaa	jaa
aga	a
enne	`enne
tulema	tul'i
jah	jahh
ehk	ehk
kui	kui
palju	paelu
siis	siis
see	selle
kangas	`kangaga
veel	viel
pleekimine	pliekkimisega
olema	ol'i
kui	kui
kuduma	`kuottud
olema	ol'i
juba	juo
keetma	kieda
ja	ja
virutama	virutta
ja	ja
möllama	möllatta
mitu	mittu
kord	`korda
päev	pääva
kätte	`kätte
viima	`viija
õhta	`õhta
tooma	`tuuwa
hommikul	ommikku
vara	vara
olema	ol'i
esimene	es'imine
kangas	ka~ngas
viima	`viija
sööt	süed'ile
noo	noo
varas	`vargad
viima	viisid
ära	ää
jälle	jälle
leidma	`leidnud
küll	küll
ei	ei
kes+see	kesse
sitt	`sitta
valvama	`valvas
ennemasti	ennemast
võtma	võt'tid
näpp	`näppu
ja	ja
hommikul	ommikku
viima	viis'id
tagasi	tagasi
jah	jahh
noo	noo
eks	eks
tema	tall
olema	old
oma	oma
kunst	kun'ts
üksi+päini	üksi+bäine
olema	ol'i
tema	ta
kunst	kun'ts
hakkama	nakkas
jooksma	`juoksma
aga	aga
siis	siss
jalg	jalg
saama	sai
sinna	senna
post	pos'ti
asemele	asemelle
panema	`panna
siis	siss
hoidma	`oidis
kinni	`kin'ni
kui	kui
see	selle
posti+vahe	pos'ti+vahe
saama	sai
lappesse	`lappesse
panema	`pandud
ju	juo
ja	ja
siis	ss
tulema	tul'i
teine	teene
posti+vahe	pos'ti+vahe
jälle	`jälle
jah	jahh
lappesse	`lappesse
see	seda
saama	sai
kõik	kõik
kui	kui
käär+puud	kiar+buije
pealt	pialt
maha	maha
saama	said
jah	jahh
eks	eks
teie	teil
tulema+ki	tul'igi
kangas	ka~ngast
ise+ki	isegi
vist	vist
kuduma	kudund
või	või
noo	noo
jah	jahh
jah	jahh
kui	kuij
olema	ol'i
tüdruk	tüdruk
eks	eks
siis	siis
aga	aga
ikke	ikke
rohkem	`rohkemp
pere+naine	pere+naene
olema	ol'i
jah	jahh
pere+naine	pere+naene
noh	nohh
eks	eks
jälle	`jälle
üks	üks
hoidma	`oid'is
kangas	ka~ngast
kinni	`kin'ni
pidama	pid'i
hästi	`äs'ti
ilusti	ilusti
hoidma	`oidma
et	et
teine	teist
äär	iärt
ei	ei
natukene	nattukkene
pingutama	pinguttand
siis	siis
lonti	`lon'tti
kui	kui
sinna	sinna
peale	`piale
saama	sai
lõdvasti	lõdvaste
kolmekesi	kolmekkeste
kolmas	kolmas
ajama	aas
pulk	`pulkka
pulk	pulgast
ümber	`ümber
ja	ja
siis	siss
üks	üks
hoidma	`oid'is
kinni	`kinni
üks	üks
näppima	`näppis
tihv	`tihvu
ühte+lugu	`ühte+lugu
kui	kui
pikk	pikk
kangas	ka~ngas
olema	ol'i
siis	sis
olema	ol'i
ikke	ikke
tegemine	tegemist
küll	küll
äär	iared
minema	läksid
veel	viel
vahest	vaest
maha	maha
siis	ss
saama	sai
veel	viel
peerg	`piergu
alla	`alla
panema	`panna
see	selle
tang	tangule
ja	ja
kui	kui
jah	jahh
jah	jahh
hoidma	`oitsid
siis	s
serv	servad
üleval	üleval
ei	ei
laskma	last
maha	maha
vaatama	`voatta
kudumine	kudumisega
teine	teene
serv	serv
olema	onn
lõtv	lõdva
teine	teene
olema	onn
kange	`kange
siis	siis
käsi	käs'i
kiskuma	kisub
ette	ette
teine	teene
äär	jäär
jah	jahh
see	sie
lõtv	lõdvem
pakk	pakk
olema	ol'i
seal	sial
kangas+jalg	ka~ngas+`jalgade
all	all
olema	ol'i
pakk	pakkus
olema	ol'id
nii+sugune	neesukkesed
soon	suoned
sinna	`sinna
pakk	pakku
sisse	`sisse
vajutama	vaeuttat'ti
ja	ja
siis	siis
pulk	pulgad
veel	viel
panema	`pan'di
sinna	`sinna
peale	`piale
et	et
siis	siis
seal	sial
soon	soone
sees	sies
siis	siis
olema	ol'i
seal	sial
jah	jahh
ei	ei
minema	lähe
jah	jahh
kui	kui
olema	ol'i
suur	suur
pikk	pikk
kangas	ka~ngas
siis	siis
panema	`pan'di
peerg	pierud
alla	`alla
lühikene	lühikkesel
ei	eij
olema	old
vahest	vahest
olema	ol'i
kuus	kuus
seitse+kümmend	seitse+gümment
küünar	küinart
noh	nohh
suur	suur
noh	nohh
teine	teene
istuma	`istus
seal	sial
vahel	vahel
andma	`an'dis
kätte	`kätte
teine	teene
olema	ol'i
teine	teese
pink	pingi
peal	pial
võtma	`võt'tis
sealt	sialt
vastu	vasta
need	niijed
olema	onn
nüüd	nüid
siin	siin
kesk+paik	kess+paegas
ja	ja
see	sie
lõnga+pakk	lõ~nga+bakk
olema	ol'i
seal	sial
jah	jah
ja	ja
siis	siis
siis	siis
siit	siit
andma	`an'dis
teine	teene
andma	`an'dis
kätte	`kätte
teine	teene
võtma	`võt'tis
siin	siin
niie+silm	niije+silma
kinni	`kin'ni
tegema	tegi
lahti	`lahti
ja	ja
pistma	`pistis
sealt	sialt
auk	august
sisse	`sisse
tema	ta
ette+poole	ette+`buole
kuni	kun'i
neli	neela
niis	niijega
kaks	kahe
niis	niijega
olema	old
ikke	ikke
hea	ia
aga	aga
neli	neela
niis	niijega
olema	ol'i
pidama	piad
näpp	`näppu
vahele	vahele
kõik	kõik
sedasi	sedasi
üksikaselt	üksikkaselt
võtma	`võtma
siis	siis
et	et
jah	jahh
need	nied
niis	niijed
et	et
siis	siis
sealt	sialt
olema	ol'i
sina	sull
joon	juonega
võtma	`võtta
järgmine	`järgamine
jah	jaahh
jah	jahh
kahekesi	kahekkeste
jah	jahh
teine	teene
andma	`an'dis
kätte	`kätte
ja	ja
teine	teene
panema	pan'i
niis	niide
niis	niije
sisse	`sisse
jah	jahh
ah	ahh
kude	kue
ikke	`ikke
noh	nohh
saama	sai
see+samune	sie+samune
niis	niijed
alla+tallatud	`alla+tallattud
talla+puu	talla+`puuga
siis	siis
lööma	lõi
rist	ris't
sisse	`sisse
siis	ss
olema+ki	ol'igi
kohe	kohe
jääma	jäi
kinni	`kin'ni
jah	jahh
kangas	`kanga
panema	paneme
kude	kujele
