salv	`salves
põllu+töö	põllu+dööd
aga	aga
talve	`talvel
järv	`järves
noot	noodad
suur	suured
noot	noodad
need	neid
võrk	`võrkkuid
olema	õl'i
kõik	kõik
tuba	tuba
täis	täis
meie	meil
olema	õl'i
ka	koa
suur	suured
tuba	tuad
siis	siss
seal	sial
need	neid
parandama	parandat'iti
ja	ja
õiendama	õijendat'ti
kaks+teist+kümmend	kaks+teis+kümme
e	e
kaks+teist+kümmend	kaks+teis+kümme
mees	miist
olema	õl'id
järve+mees	`järve+mehed
seal	seal
siis	sis
olema	õl'id
polusnik	`pousnikkud
ja	ja
olema	õl'i
nimi	nimi
veel	vel
need	neil
ja	ja
ja	ja
kes	kess
e	e
suuremalt	suuremalt
need	nied
olema	õl'id
need	ne
polusnik	`pousnikkud
olema	õl'id
nagu	nagu
alam	alamad
siis	siis
need	need
ütlema	`öel'di
polusnik	`pousnikkud
isa	isa
olema	õl'i
jagu	jau
peale	*peale
need	neid
siis	siis
need	ned
polusnik	`pousnikkud
vot	vot
kuidas	kuda
ütlema	`öel'di
nii	nii
jah	jahh
kaks+teist+kümmend	kaks+teis+kümme
jah	jahh
üks	ühe
üks	ühe
noot	nooda
peal	peal
see	see
olema	õl'i
siis	s
noot	noot
see	see
olema	õl'i
need	neid
võrk	`võrkkasid
olema	õl'i
tihke	`tihkeid
võrk	`võrkkusid
ja	ja
kõik+sugune	kõik+suguseid
ja	ja
kui	kui
nemad	nad
rääkima	`rääkkisivad
ja	ja
aa	aa
ja	ja
kuda+viisi	kuda+viis'i
nemad	nad
vahel	vahel
kui	ku
tulema	tul'i
veel	vel
talv	`talve
ajal	aeal
ja	ja
see	see
külm	kül'm
ja	ja
lõhkuma	`lõhkus
veel	vel
jäätus	`iättuse
tükk	tükkid
ära	ära
mina	mina
teadma	tian
mina	mina
olema	õl'in
veel	vel
noor	noor
siis	siis
kui	ku
mina	mina
ema	ema
pidama	pid'i
minestama	minestama
ära	ära
ja	ja
karjuma	`kar'jusivad
tükk	tükkitte
peal	pial
ujuma	ujusivad
e	e
kus	koss
saama	saivad
e	e
vat	vat
tulema	tul'i
äkiline	äkkiline
nisuke	nessukkene
lõhkumine	`lõhkumine
järv	järves
ja	ja
lõhkuma	`lõhkusivad
ja	jaa
saama	saivad
kus	kuss
keegi	`keegi
rand	`randa
saama	sai
alla	`alla
ooh	oohh
kõik	kõik
sihuke	siuksed
asi	as'jad
olema	onn
olema	`ollud
enne+vanasti	`enne+vanasti
ikka	`ikke
jaah	jaahh
suur	suured
noot	noodad
olema	on
talv	talvel
mh	mhh
ei	ei
siin	siin
ei	ei
siis	siis
ei	ei
uppuma	`uppunud
kui	kui
see	see
lõhkumine	`lõhkumine
olema	õl'i
ikka	ikke
saama	saivad
kõik	kõik
kõik	kõik
elu	eluga
elu	elugaa
alla	`alla
olema	õl'id
kõik	kõik
olema	õl'id
vana+mees	vana+mehed
siit	siit
kes	kess
see	seda
seal	seal
käima	käis'ivad
minema	läheb
tulema	tuleb
nisuke	nisukkesed
pagu	paud
lööma	lööb
sisse	`sisse
ja	ja
e	e
kui	kui
tulema	tuleb
maru	maru
maru	maru
ja	ja
lõhkuma	lõhub
tükk	`tükkidess
kõik	kõik
ja	ja
ja	jaa
vot	vott
olema	ole
jäätis	`iattise
peal	pial
talv	`talve
aal	aal
kohe	kohe
e	e
rand	`randa
mõni	mõn'i
saama	sai
vahel	vahel
saama	said
Vene+maa	Vene+maale
alla	`alla
noh	noh
teine	teisele
pool	poole
serv	`ser'va
ja	jaa
seoke	`seoksed
asi	as'jad
olema	õl'id
ja	jaa
hirm	`irmu
ja	ja
nutt	`nuttu
olema	õl'i
kõik	kõik
koht	kõhad
täis	täis
mis	miss
kodu+rahvas	kodo+rahvas
olema	õl'i
tegema	tegid
nüüd	nüid
nisuke	`niskest
asi	`as'ja
ei	ei
olema	õle
nüüd	nüid
talve	`talvel
ei	ei
käima+ki	`käijagi
järv	järvel
meie	meil
olema	õl'id
ikka	ikke
suur	suured
värk	vär'gid
värdüd	värdüd
nüüd	nüd
e	e
noot	nuodad
noot	nuodad
ütlema	`öel'di
kaalus	kaalus
ja	ja
siis	siss
niske	`niskesed
väike	`veiksed
nagu	nagu
nüüd	nüit
need	ned
kiosk	`kiuksid
siin	siin
olema	onn
aa	aa
need	need
olema	õl'id
niske	`niskesed
kere	kered
ütlema	`üel'di
need	ned
vedama	`viedi
järv	järve
peale	`piale
öö	ööd
olema	õl'id
seal	sial
siis	sis
vedama	`vied'i
kodu	kodust
kõik	kõik
õlg	õled
ja	ja
ja	ja
siis	siss
seal	sial
küpsetama	`küpsettäsid
need	neid
kala	kalu
ise	ise
ise	ise
küpsetama	`küpsettäs
siis	sis
tooma	`tood'i
meie	`meile
veel	vel
kodu	kodu
jälle	`jälle
ka	koa
need	neid
kala	kalu
mis	miss
nemad	nämad
ise	ise
seal	sial
nüüd	nüüd
küpsetama	küpsettänd
seal	sial
kere	keres
kere	keres
kere	kered
mh	mhh
öösel	`üüse
e	e
noh	nohh
kere	kered
järv	järval
ikka	`ikke
mitu	mittu
päev	`pääva
ikka	`ikke
ja	jaa
siis	siis
kala	kala
kaup+mees	`kaup+med
käima	käisid
kala	kalad
tooma	tõid
sealt	sialt
ära	ära
jälle	`jälle
ja	ja
ja	ja
siis	siis
kui	kui
ise	ise
tulema	tul'ivad
siis	siis
tooma	tõivad
kõik	kõik
kala	kalad
siis	siss
kõik	kõik
e	e
jõgi	jõed
olema	õl'id
need	neil
täis	täis
jäätus	`iättuse
peal	pial
siis	siss
siis	sis
see	se
mina	mina
ei	i
teadma	tiä
mis+pärast	mis+pärast
nemad	nad
jäätuma	`iättusivad
peale	`piale
siis	siss
vinnutama	vinnuttat'ti
jah	jahh
kus	koss
ei	ei
varastama	varasta
need	neid
olema	on
ikka	ikka
tünn	tün'nid,
kinni	`kin'ni
täis	täis
need	neid
kala	kalu
siin	siin
olema	on
need	neid
tahtud	`tahtud
ala	ala
ise	ise
olema	olen
e	e
isa+maja	isa+majas
olema	õl'id
juba	juba
need	need
e	e
järve+mees	järve+mees
kes	kess
siis	sis
varastama	varastama
tulema	tul'i
need	neid
või	vai
ennem	`ennem
siis	siis
niske	`neskusi
varas	`var'gid
olema	õl'i
nemad	nad
olema	õl'id
ise	ise
ju	juo
juures	juures
ka	kaa
ja	ja
jaa	jaa
hobune	obustega
hobune	obustega
käima+ki	`käid'igi
järv	järvel
naa	naa
mees	mehed
olema	õl'id
või	vai
hobune	obused
olema	õl'id
ka	kaa
järv	järve
peal	pial
seal	sial
kere	kerede
juures	juures
öö	üed
olema	õl'id
hobune	obused
kõik	kõik
seal	sial
vedama	`veed'i
kõik	kõik
hein	einad
ühes	ühes
ja	ja
palju	`pal'ju
hein	`einu
iga+üks	iga+üks
viima	vei
oma	oma
kes	kellel
hobu	obu
hobune	obused
ei	eij
olema	õld
mina	mul
hästi	east
meel	meeles
kui	ku
palju	pal'lu
need	neid
hobune	obuseid
olema	õl'id
ikka	ikke
ja	jaa
ikka	ikke
see	seda
kõik	kõigil
ega	ega
iga+üks	iga+ühele
hobune	obuseid
ei	ei
olema	`õllud
kõik	kõigil
olema	põld
muidu	`muidu
ikka	`ikke
teine	`tõiste
hobune	obuste
peale	*peale
jah	jahh
jah	jahh
jah	jahh
hirs	irred
hirs	irred
ütlema	öel'di
niske	`niskesed
pikk	piikkad
need	ned
ütlema	`öel'di
hirs	irred
siis	sis
need	neid
ajama	`aet'ti
auk	augudest
üks	ühest
auk	aogust
ajama	`aet'ti
jälle	`jälle
teine	`tõise
auk	`aukku
välja	`väl'ja
ja	ja
vat	vat
seda+viisi	seda+viisi
püüdma	`püüt'ti
noot	nuodadega
kala	kalu
jaah	jaahh
noo	noo
vot	vott
millal	millal
mina	mina
seal	sial
juures	juures
olema	õl'in
hee	hee
no	no
kus	kos
mina	mina
ega	ega
mina	mina
ei	ei
käima	käind
järv	järvel
eks	eks
seal	seal
ikka	ikke
eks	eks
seal	sial
kõik	kõigil
töö	tööd
nii	nii
nii	nii
palju	pal'lu
olema	õl'i
võrk	`võr'kka
ja	ja
olema	ol'id
hirsnik	`irsnikkud
ja	ja
mis	mis
nemad	nad
ütlema	`üt'lesiväd
hirsnik	`irsnikkud
need	ned
e	e
polusnik	`pousnikkud
need	ned
olema	õl'id
need	ned
hirsnik	`irsnikkud
siis	siss
seal	seal
polusnik	polusnikkud
ütlema	`öel'di
need	neid
siis	siss
nemad	`nendel
nagu	nagu
see	seda
jagu	jagu
ei	eij
olema	õllud
siis	siis
see	seda
noot	nooda
jagu	jagu
siis	siis
need	nied
olema	õl'id
polusnik	`pousnikkud
siis	siis
nagu	nagu
need	nied
olema	õl'id
vähem	vähäm
saama	said
jälle	`jälle
palk	`palkka
aga	aga
kes	kellel
ikka	`ikke
nagu	nagu
pere+mees	pere+mehed
olema	õl'id
need	neil
olema	õl'i
nooda+jagu	nooda+jagu
iga+üks	iga+ühel
üks	ühes
olema	õl'id
tegema	`tehtud
võrk	võrgud
ja	ja
iga	iga
talv	talv
olema	õl'id
need	nende
võrk	*võrgudega
meie	meil
olema	õl'i
vahel	vahel
tuba	tuad
täis	täis
võõras	`võerid
mees	mehi
ja	ja
parandama	parandasivad
need	neid
võrk	`võrkkusid
ja	ja
ja	ja
õiendama	õijendasivad
ja	ja
vahest	vahest
võtma	`võt'ti
saun	`sauna
panema	`pan'tti
saun	`sauna
need	ned
võrk	võrgud
ja	ja
aga	aga
noh	nohh
nemad	nad
ikka	ikke
teenima	`teenisivad
jah	jahh
nooh	noohh
müüma	müüvad
e	e
nemad	nemad
müüma	*müisivad
ära	ära
ja	ja
siis	siis
jagama	jagasivad
raha	raha
polusnik	polusnikkud
muidugi	muidugit
saama	saavad
vähem	vähäm
kes	kellel
vähem	vähäm
jagu	jagu
olema	õl'i
jah	jahh
parandama	parandasivad
kõik	kõik
kõik	`kõikke
oskama	`õskasivad
parandama	parandatta
nemad	nad
kuduma+ki	kud'usivatki
kohe	kõhe
võrk	`võrkkusid
Vene	vene
naine	naised
jah	jahh
mina	mina
teadma	tian
mina	minul
oma	omal
olema	on
alles	alles
see	sii
mees	mehe
ei	ei
isa	isa
mina	minu
ema	ema
isa	isa
isa	isa
see	see
järsku	`järsku
kuduma+ki	kuduski
võrk	`võrkkusid
kõik	kõik
järsku	`järsku
kuduma	kudus
vana+inimene	vana+in'imene
võrk	`võrkkusid
nemad	nad
ise	ise
kõik	kõik
kuduma	kud'usivad
ja	ja
tegema	tegivad
jaa	jaa
need	need
olema	onn
mõni	mõned
olema	õl'id
nii	nii
tihe	tihedäd
et	ett
seal	seall
meie	meil
olema	õl'id
veel	vel
tindi+noot	tin'di+nuodad
kaks	kahed
noot	nuodad
olema	õl'id
tindi+noot	tin'di+ndad
ja	ja
siis	siis
suur	suure
kala	kala
noot	nuodad
seal	sial
olema	õl'i
mitu	`mitmed
selts	`sel'tsi
ikka	`ikke
millal	milla
mis+see	`misse
kala	kala
aeg	aeg
olema	ol'i
see	sell
aal	aal
jälle	`jälle
olema	õl'ivad
need	ned
võrk	võrgud
mis	miss
see	sell
aal	aal
kevadel	kevade
kevadel	kevade
kevadel	kevade
poole	`puole
olema	onn
tint	tin'di
aeg	aeg
jah	jahh
jälle	`jälle
vedama	`veed'i
välja	`väl'ja
soldat	soldattittele
siis	s
vedama	`veed'i
need	neid
kuivatama	kuivattat'ti
ja	jaa
vot	vot
siin	siin
tint	tin'di
ahi	ahjud
olema	õl'id
kõik	kõik
järv	järve
ääres	iäres
olema	õl'id
kõik	`kõikkil
tint	tin'di
ahi	ahjud
siis	siss
kuivatama	kuivattat'ti
need	ned
tint	tin'did
ära	ära
ja	ja
panema	`pan'tti
sool	`soola
peale	`piale
ja	ja
need	need
kõik	kõik
minema	läksivad
ilm	`ilma
peale	`piale
soldat	`soldattittele
ja	ja
sügisel	`sü`giss
supp	`suppi
keetma	keedetti
need	neist
ja	ja
nemad	naad
olema	õl'id
kuivatama	kuivattud
tint	tin'dil
olema	onn
hea	parem
maitse	maitse
kui	kui
e	e
see	sell
värske	`värskel
hea	iad
meie	meil
ka	koa
ise	ise
pruukima	`pruukkisime
need	neid
nii	nii
hea	iad
olema	õl'id
et	et
värske	`värske
olema	on
nagu	nagu
vägev	vägev
nõnda	nõnna
palju	pal'ju
tema	teda
ei	ei
tahtma	taha
ah	ah
toit	`toittu
supp	`suppi
tegema	tehasse
ja	ja
pann	pan'ni
peale	`peale
panema	pannasse
ja	ja
pirukas	piirukkad
olema	on
hea	iad
ja	ja
pirukas	piirukkas
olema	on
ka	ka
hea	ia
jah	jahh
e	e
riis	riisi
nõnda	nõnna
pekk	pekkiga
ja	ja
riis	riisiga
olema	õl'id
pirukas	piirakkas
olema	õl'i
väga	vääga
hea	ia
pirukas	piirak
jah	jahh
aga	a
nüüd	nüid
ei	eij
olema+ki	õlegi
tint	`tin'tta
või	vai
ei	i
püüdma	`püütta
või	vai
ei	eij
olema+ki	olegi
need	neid
vist	vist
või	vä
no	no
meie	meil
küll	küll
Must+vee	`Must+ves
ei	eij
olema	õle
nägema	nähä
kuulma	kuulda
aga	a
enne+vanasti	`enne+vanasti
olema	õl'i
need	neid
nii	nii
palju	pal'ju
et	ett
ahi	`ahjudes
kuivatama	kuivattat'ti
kõik	kõik
ilm	ilm
olema	õl'i
täis	täis
kevaditi	kevadette
iga+üks	iga+üks
ostma	`os'tis
siis	siis
kõik	kõik
ilm	ilm
e	e
haisema	`aises
Must+vee	`Must+vee
iga+üks	iga+üks
kuivatama	kuivattas
oma	omale
ja	ja
loom	luomadelle
kuivatama	kuivattasime
meie	me
ka	koa
see	si
kuivatama	kuivattasime
ahi	ahjus
siis	sis
need	ned
olema	õl'id
hea	iad
loom	`loomadelle
andma	`anda
ja	ja
ise	`endalle
pruukima	`pruukkida
ja	ja
ah	ahh
misuke	`meskusi
veel	veel
kiisk	`kiissu
kiisk	kiissadel
olema	õl'id
kevadel	kevade
võrk	võrgud
e	e
rääbis	rääbisse
e	e
rääbis	rääbisse
noot	nuodad
olema	õl'id
kah	kahh
rääbis	rääbissed
jälle	`jälle
kõik+sugu	kõik+sugu
kõik+sugu	kõik+sugu
kala	kalu
ikka	ikke
hea	iad
kala	kalad
no	no
eks	eks
no	no
mis	miss
seal	sial
meie	meije
oma	õmad
talv	talvel
püüdma	`püitsivad
need	ned
saan	`saan'idega
sinna	`sinna
jõgi	jõe
peale	`piale
tooma	`toodi
siis	siss
nii+sugune	niisukkesed
kõik+sugune	kõik+suugused
havi	avid
ja	ja
sudak	sudakkad
ja	ja
latikas	lat'tikkad
ja	ja
need	ned
vedama	`viedi
kõik	kõik
välja	`väl'ja
ei	ei
teadma+ki	`tiagi
talv	talve
ei	ei
talv	talvel
ka	kaa
ikka	`ikke
talv	talvel
need	neid
ka	kaa
tulema	tul'i
välja	`väl'ja
noot	nuot
olema	onn
noot	nuodad
ütlema	`öel'di
need	ned
olema	õl'i
niske	`niske
tihke	`tihked
õige	õige
tihke	tiihked
peenike	peen'ikkesed
ja	ja
suur	suured
aga	aga
võrk	võrgud
olema	onn
ikka	`ikke
väike	`väiksemad
nii	nii
need	neid
panema	pannasse
väiksemalt	`väiksemalt
aga	aga
noot	nuodad
olema	onn
suur	suured
nii	niij
et	et
kõik	kõik
ilm	ilm
need	neid
olema	õl'i
täis	täis
kui	kui
need	neid
hakkama	akkat'ti
õiendama	õijendama
mina	ma
ütlema	tsi
olema	õl'i
ka	koa
tarkus	`tarkkusi
ja	ja
õiendus	õijendusi
mis	miss
kõik	kõik
oskama	`õskasivad
ära	ära
tegema	teha
vana+aegne	vana+`aeksed
inimene	in'imesed
aga	a
nüüdne	`nüitsel
aeg	aal
nüüd	nüd
mina	ma
ei	i
teadma+ki	`tiagi
et	et
noot	`noottasid
olema	onn
ei	ei
teadma	tia
no	no
kus	koss
olema	onn
riik	riigi
käes	käe
olema	onn
kõik	kõik
see	see
asi	asi
olema	põle
need	neil
noot	`nuottasid
ei	ei
aga	a
nemad	nad
ikka	ikke
ise	ise
käima	käivad
ju	ju
siin	siin
püüdma	`püidmas
eks	eks
need	neil
olema	ole
vist	vist
ikka	`ikka
noot	nuodad
või	vä
e	e
need	need
olema	on
nüüd	nüd
rüsa	rüsad
või	vä
rüsa	rüsad
mis	miss
kevadel	kevade
panema	pannakse
jõgi	`jõkke
kolme+kordne	kolme+`gortsed
no	no
vits	vitsad
ümber	`ümber
no	no
need	ned
olema	onn
e	e
need	neid
ka	koa
kuduma	`kuottasse
tihke	tihke
need	nied
kuduma	`kuottasse
no	no
need	neid
mööduma	*müödunud
kevadel	kevade
püüdma	`püit'ti
kala	kalu
nüüd	nüid
ei	ei
laskma	`lasta
need	neid
ka	ka
panema	`panna
kuhugi	kohegid
ei	ei
las	lass
keegi	`keegi
ei	ei
saama	saa
panema	`panna
meie	mee
mina	minu
oma	oma
mees	mees
meie	mee
kui	kui
mina	mina
elama	elasin
siin	siin
mina	minu
oma	oma
mees	mees
ja	ja
püüdma	`püid'is
kevad	kevadel
meie	meil
olema	õl'i
need	neid
havi	avisid
kõik	kõik
koht	kohad
täis	täis
tegema	tegime
ja	ja
silk	silgudest
ja	jaa
müüma	`müisime
ja	ja
e	e
rüsa	rüsa
need	nende
rüsa	rüsadega
öösiti	`öösette
käima	käis
ikka	`ikke
jõgi	`jõkke
panema	`pan'tti
jõgi	jões
olema	õl'id
tõke	`tõkked
niske	`niskised
nüüd	nüid
ei	ei
teadma+ki	`tiagi
niske	`niske
asi	`as'ja
tema	täma
olema	õl'i
kangesti	`kangest
püüdja	`püidja
tahtma	`tahtis
need	neid
püüdma	`püüda
ei	ei
jõudma	`jõudnd
ära	ää
ootama	oodatta
millal	milla
hakkama	`akkab
kevad	kevade
tulema	tuleme
jah	jahh
ja	jaa
suvi	suvel
käima	käis
järv	järvel
ka	kaa
oma	omal
olema	õl'i
lootsik	loot'sik
siis	sis
käima	käis
ikka	`ikke
suvi	suvel
oma	oma
jaoks	jaoss
olema	õl'i
alati	alat'ti
kala	kala
ega	ega
ilma	ilma
ei	ei
olema	õld
äär	äärt
seal	sial
olema	onn
kivi	kivid
teisel+pool	tõesel+pool
olema	on
pull	pullud
pull	pullud
olema	onn
e	e
see	selle
peal	pial
kodus	kodu
ka	ka
keetma	keedetti
need	neid
e	e
e	e
need	nende
kase+toht	kase+dohudest
niske	`niskesed
pikk	pikkad
pull	pullud
teine	tõises
serv	servas
olema	onn
pull	pullud
teine	tõises
serv	servas
olema	onn
ümmargune	ümmärgused
kivi	kivid
ei	ei
teadma	tia
need	ned
olema	õl'id
kõikjal	`kõikkjal
niske	`neskesed
kes	kes
need	neid
tegema	`tehti
aga	aga
kivi	kiva
kivi	kivid
olema	õl'id
noh	nohh
muidu	muidu
jääma	jäi
ju	ju
võrk	võrk
sisse	`sisse
pull	pull
jääma	jääb
peale	`piale
ja	ja
kivi	kivid
langema	`langevad
põhi	`põhja
need	need
olema	onn
need	ned
võrk	võrgud
ot	ot
meie	meil
olema	on
vist	vist
praegu+ki	`präägugi
need	neid
kivi	kiva
e	e
võrgu+kivi	võrgu+giva
see	sii
ümmargune	ümmärgusi
ilus	iilusad
sile	siiledad
nõnda	nõnna
kui	kui
örese	örese
tera	tera
auk	augud
sees	sees
ja	ja
jah	jahh
pull	pullud
olema	õl'id
kase+toht	kase+tohost
rull	`rul'li
ajama	`aettud
ja	ja
siis	siis
panema	`pan'tti
kuum	`kuuma
vesi	`vette
siis	sis
tõmbama	`tõmbasid
kokku	`kokku
siis	siis
auk	auk
jääma	jäi
sisse	`sisse
ja	ja
siis	siis
panema	`pan'tti
nöör	nöör'
läbi	läbi
siis	sis
teine	`tõise
serv	`serva
jääma	jäi
kase+pulk	kase+*pulgad
need	need
need	ne
keerama	`kierad
peale	`piale
vesi	vee
peale	`piale
no+jah	no+jahh
no	no
need	neil
olema	on
ikka	`ikke
märk	märgid
ka	koa
kallas	`kaldas
ju	ju
kus	koss
aga	aga
sedasi	sedasi
võtma	`võettasse
välja	`väl'ja
kivi	kivid
olema	on
põhi	põhjas
ja	ja
noo+jah	noo+jahh
ei	ei
teadma	tia
eks	eks
nemad	nad
ikka	`ikke
minema	lähe
seal	sial
olema	õl'id
ikka	`ikke
pukk	pukkid
ja	ja
latt	lat'tid
peal	peal
ja	ja
käsi+puu	käs'si+buud
kaks	kahel
pool	puol
ja	ja
ikka	`ikke
mitu	mittu
tõkis	tõkkest
olema	õl'i
kus	koss
see	sii
üle	üle
käima	`käidi
oh	oh
ei	ei
seal	sial
olema	õl'i
jälle	jälle
kust	kost
alt	alt
läbi	läbi
minema	läks
jah	jah
üle	üle
käima	`käidi
olema	õl'i
aga	aga
e	e
jõgi	jõgi
olema	õl'i
all	all
noh	nohh
tõkis	tõkkes
olema	õl'i
ikka	ikke
nii	nii
kõrge	`kõrge
pukk	pukkide
peal	pial
noh	nohh
üleval	üleväl
kõrgel	`kõrgel
aga	a
ennemasti	`ennemaste
alati	aalat'ti
sinna	`sinna
uppuma	`uppusivad
tema	täma
olema	onn
nii	nii
sügav	sügäv
kevadel	keväde
olema	onn
see	see
jäätus	`iättus
nõrk	nõrk
ja	jaa
ei	ei
teadma	tia
ja	ja
minema	*läksivad
siis	siss
aga	aga
noh	noh
nüüd	nüid
olema	onn
suur	suured
nüüd	nüid
ennem	`ennem
ei	eij
olema	õld
sild	`silda
nüüd	nüid
olema	on
sild	sild
peal	pial
või	vä
noo+jah	noo+jahh
nüüd	nüid
olema	onn
sild	sild
nüüd	nüid
ei	eij
olema	õle
enam	enam
see	seda
hirm	`ermu
aga	aga
ennem	`ennem
käima	käisivad
hobune	obustega
üle	üle
aga	aga
olema	onn
nii	nii
sügav	sügav
tema	tema
e	e
juba	juba
minema	läks
varem	varem
katki	`kat'ki
kui	kui
e	e
muu	muud
jõgi	jõed
alati	alat'ti
uppuma	`uppus
siin	siin
inimene	in'imesi
palju	`pal'ju
ära	ära
nüüd	nüid
olema	onn
ikka	ikke
sild	sillad
peal	peal
noh	noh
see	see
e	e
olema	õl'i
vist	vist
madal	madalam
olema	on
ka	koa
jõgi	jõgi
aga	aga
siin	siin
palk	`pal'kka
olema	põle
ah	ah
olema	ol'i
ikka	`ikke
ka	kaa
enne+vanasti	`enne+vanasti
jah	jahh
laskma	`las'ti
ka	ka
palk	`pal'kka
alla	`alla
jah	jahh
jõgi	jõgi
olema	õl'i
täis	täis
palk	`pal'kka
ka	kaa
laskma	`las'ti
alla	`alla
kui	kui
need	neid
mets	`metsasid
palju	pal'ju
olema	õl'i
ja	ja
palk	`pal'kka
ja	ja
kõik	`kõikki
nüüd	nüid
olema	põle
see	se
palk	`pal'kka
kuskil	`kus'kil
enam	enam
soo	sood
ei	ei
palk	`pal'kka
kõik	kõik
ära	ära
laastama	`laastud
palk	pal'gid
mina	minul
olema	õle
tema	tia
meel	mieless
seal+pool	sial+bool
ots	otsas
olema	õl'i
üks	üks
ja	ja
üle+jõe	üle+jões
olema	õl'i
teine	tõine
ja	ja
meie	meije
pool	pool
olema	õl'i
kolmas	kolmas
ja	ja
siis	siis
e	e
ajama	`aet'ti
pasun	pasunad
juba	juba
kell	kell
kolm	kolm
kui	kui
pidama	pid'ime
üles	ülesse
tõusma	`tõusma
valvama	`valvama
et	et
lehm	lehmad
e	e
et	et
meie	me
maha	maha
ei	ei
jääma	jää
ja	ja
kui	kui
karjus	kar'juss
ja	ja
nägema	nägi
et	et
siis	s
ajama	`aasime
või	vai
jääma	jäid
hiljaks	il'jaks
hakkama	`akkas
sõimama	`sõimama
vat	vat
kus	kus
laisk	lais'k
pere+naine	pere+naine
jätma	jättab
lehm	lehma
ajama	aab
järele	järele
ei	ei
saama	saand
õige	`õigel
aeg	aal
aga	a
meie	mee
meie	mee
ei	ei
